,Date,Close,return,Settle,Value,portfolio,options,cash,delta,tgtdelta
0,2007-05-21,152.53999299999998,,14.9,5.35,1000000,39953.89048742774,960046,19800.0,6555.6578332870395
1,2007-05-22,152.419998,-0.0007869557301562716,14.99,5.35,997327.8324830628,36953.5320309621,960374,19800.0,19629.861807564048
2,2007-05-23,152.440002,0.00013123400924114605,14.92,5.35,997427.6446316155,36912.87748367039,960514,19700.0,19629.250161613396
3,2007-05-24,151.059998,-0.009093993480040828,15.05,5.35,969946.7892790136,9244.83408965504,960701,19700.0,19262.812169751523
4,2007-05-25,151.690002,0.004161882142840257,15.1,5.35,982002.0741746556,21052.298590978673,960949,19600.0,19421.22871436159
5,2007-05-29,152.240005,0.00361927804236257,15.01,5.35,991144.7935420986,30054.942113331617,961089,19500.0,19531.22886869516
6,2007-05-30,153.479996,0.008111983485981857,14.92,5.35,1015033.877005377,54099.7926817561,960934,19500.0,19840.381224769717
7,2007-05-31,153.320007,-0.0010429531482631024,14.86,5.35,1011605.8263661471,50810.76586170438,960795,19600.0,19794.008221630473
8,2007-06-01,154.080002,0.004944674861597057,15.07,5.35,1026283.195150956,65703.15452048591,960580,19700.0,19982.149178923737
9,2007-06-04,154.100006,0.00012982023173938457,15.17,5.36,1025507.3878380968,65144.940704864464,960362,19800.0,19964.451938530685
10,2007-06-05,153.490005,-0.003966330361087575,15.25,5.33,1013068.1857453234,52565.946582035904,960502,19900.0,19800.667523829776
11,2007-06-06,151.83999599999999,-0.010808142382579364,15.34,5.36,979933.7778253244,19194.28309468439,960739,19900.0,19361.178944419713
12,2007-06-07,149.100006,-0.01821004650598496,15.67,5.36,925384.6733625678,-35315.64554589476,960700,19800.0,18619.40917754023
13,2007-06-08,151.03999299999998,0.012927394039729806,15.72,5.36,963307.4326551033,2454.332723422804,960853,19700.0,19133.49067730234
14,2007-06-11,151.300003,0.0017199845705509614,15.52,5.33,967242.8625878216,6218.1667250002265,961024,19600.0,19178.64197110072
15,2007-06-12,149.649994,-0.0109654464172592,15.61,5.36,934776.544044451,-26252.752524886924,961029,19500.0,18739.256562438306
16,2007-06-13,151.889999,0.014857373861014291,15.47,5.36,977944.0483369622,16773.92188655137,961170,19400.0,19315.505723394515
17,2007-06-14,152.860001,0.006365908290467886,15.33,5.36,996473.6223061719,35397.088031843625,961076,19400.0,19556.593270717796
18,2007-06-15,153.070007,0.0056493661200872364,15.23,5.36,1000277.579442218,39316.059571725295,960961,19500.0,19604.31567973113
19,2007-06-18,152.889999,-0.001176676802484687,15.29,5.36,995587.730308481,34485.61384382357,961102,19600.0,19535.373212511062
20,2007-06-19,153.270004,0.0024823960766878718,15.12,5.36,1002742.6254301219,41499.4882597109,961243,19600.0,19626.983739690942
21,2007-06-20,151.139999,-0.013994545132320586,15.62,5.36,960701.2608988084,-678.3506717459773,961379,19600.0,19069.100183707327
